Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
Pressed Together as One,meditationsinemergencies,24828793,20 Jun 2020,Mature,F/F,No Archive Warnings Apply,Complete Work,English,"2,010",1,17,55,3,465
Need You Tonight,HogwartsToAlexandria,24829087,20 Jun 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,587,1,4,173,11,3665
Sipsly's: A Series of Smutty Oneshots,Sipsly,24829219,22 Jun 2020,Explicit,"F/F, F/M, Gen, M/M, Multi",Choose Not To Use Archive Warnings,Work in Progress,English,"4,202",2,1,30,2,1549
Prisoner of Azkaban,Tay_Quin,24829585,06 Jul 2020,Teen And Up Audiences,"F/F, F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"31,195",15,27,209,11,3526
In The End,minerva__mcgee,24829678,20 Jun 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,637,1,0,42,0,562
What Will We Do With a Drunken Harry?,Thunder_of_Dragons,24829819,27 Jul 2020,Explicit,"F/F, M/M, Multi",No Archive Warnings Apply,Complete Work,English,"4,975",3,19,262,20,3429
the plant that doesn't bloom,shealwaysreads (onereader),24830002,21 Jun 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,542",1,38,392,33,2084
A Feline Cupid,sekhmetpaws,24830017,09 Sep 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"17,087",11,31,309,32,5252
I'll Be Down Here On My Knees,NidoranDuran,24830056,20 Jun 2020,Explicit,F/M,Rape/Non-Con,Complete Work,English,"4,203",1,1,176,52,22306
Profiling Wizards,3ampm,24830086,01 Jun 2021,Not Rated,Multi,Choose Not To Use Archive Warnings,Work in Progress,English,"50,858",15,137,936,345,30644
but in time all the flowers turn to face the sun,the_crownless_queen,24830233,20 Jun 2020,Teen And Up Audiences,"F/F, F/M, Gen, M/M",No Archive Warnings Apply,Complete Work,English,"23,520",1,66,775,217,5448
Jokes,SeeEmRunning,24831592,21 Jun 2020,Teen And Up Audiences,F/M,Major Character Death,Complete Work,English,"3,064",1,3,148,19,1128
Convergence,TheLadyAutist,24831769,21 Jun 2020,Mature,F/M,Graphic Depictions Of Violence,Complete Work,English,"11,259",4,0,9,4,210
The Complexities of Virginity,BookofSpells,24831781,21 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,679,1,6,149,7,1341
Never Tickle A Sleeping Dragon,Thatonelyric,24831901,21 Jun 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,822,1,2,25,1,635
Thoughts of a Seemingly Innocent Prisoner,DaisyViolets,24832120,20 Jun 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,176,1,0,8,0,176
Night Fever,midnightweeds (weedswrites),24832396,21 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"1,567",1,5,111,16,2528
Let Her Go,VioletVolpe,24832480,29 Dec 2020,Teen And Up Audiences,Multi,No Archive Warnings Apply,Work in Progress,English,"46,462",19,28,133,21,4672
Wildfire,midnightweeds (weedswrites),24832831,21 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,003",1,6,214,22,2820
Hunks in Trunks,Squarepeg72,24832849,21 Jun 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,588",1,12,71,6,1171
Oh,GoringWriting,24832870,21 Jun 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,483,1,4,452,48,4967
"Stone Can Not Weep, But Men Can",MissDrarryDawn,24832969,21 Jun 2020,Teen And Up Audiences,M/M,Major Character Death,Complete Work,English,972,1,14,46,0,721
